bolt	glow	shaky	lumpy	hypnotic
bell	spiritual	materialistic	rule	sponge
class	react	exercise	impartial	heavenly
way	puzzling	plant	jumbled	notice
trot	observant	push	adaptable	needless
trees	shelf	amused	reactive	sheet
burn	grandiose	extra-large	rat	day
heal	claim	property	likeable	gabby
clever	lively	itchy	boundless	curl
relation	reacting	handsome	ashamed	
mess up	feeble	sense	argument	blood
exclusive	color	harbor	boat	bedroom
dust	appear	simplistic	workable	admit
cave	oat	outstanding	number	measure
hiding	reward	foot	odd	history
blink	jolly	adjoining	joyous	sweater
cow	nebulous	rock	dirty	groan
thirsty	hug	voracious	flowers	tent
daffy	pretend	unfasten	handsome	welcome
repeat	drum	quilt	superficial	uncovered
hanging	berry	married	marked	frogs
loss	same	dirt	sameish	baby
copper	bad	unpack	repeat	old-fashioned
suit	keen	corn	thin	stem
wave	same	safe	same	yard
harass	haircut	unpack	sparkle	pencil
sprout	magic	caption	frequent	distribution
smoggy	idiotic	onerous	oranges	argue
achiever	amount	queue	gather	fix
account	sneeze	petite	appliance	property
judicious	fast	delight	husky	collect
tumble	float	program	coat	cowardly
carriage	mother	aquatic	vanish	care
paper	goat	shallow	extend	territory
pass	possessive	labored	minor	arithmetic
stimulating	thrill	bawdy	warm	pink
gentle	glib	odd	public	cooing
sheet	accessible	word	enthusiastic	repeat
selection	reaction	mute	alleged	jittery
orange	sophisticated	income	mist	popcorn
way	stand
